Region,School Name,School Hours of Operation,Teacher Start & End Time  ,Para Start & End Time   ,Nurse Start & End Time,Family Liaison Start & End Time ,Specialist Start and End Time,Notes: 
1,Otis Elementary School,8:20am - 3:00pm                            Early dismissal 12:20pm,7:55-3:05,8:10-3:00,7:55-3:05,7:30-3:30,7:55-3:05,
1,Warren-Prescott K-8 School,8:30am - 3:10pm,8:15-3:25,8:20-3:10,8:15-3:25,8:30-4:30,8:15-3:25,
2,Blackstone Elementary School,"8:30am - 3:10pm
Early Dismissal 12:40pm",8:15 -3:25,8:25-3:15,8:15-3:25,7:30-3:30,8:15-3:25,
2,Condon K-8 School,"8:30am - 3:10pm
Early Dismissal 12:40pm",8:15 - 3:20,8:25 - 3:15,8:15 - 3:20,8:30 - 3:20,8:15- 3:20,
2,Dever Elementary School,"7:30am - 2:30pm; Wed 12:35pm
Early Dismissal 12:00pm", 7:10 - 3:10.        Wed: 7:10 - 3:50            ,7:10 - 3:10,7:10 - 3:10,7:10 - 3:10,7:10 - 3:10,
2,Everett Elementary School,9:30am - 4:10pm,9:10am - 4:25pm,9:15am- 4:10pm,9:10am - 4:25pm,9:00am - 5:00pm,9:10am - 4:25pm,
2,Holmes Elementary School,9:30am - 4:10pm; 12:30pm Thr,9:20am - 4:20pm,9:10am - 4:25pm,9:20am - 4:20pm,9:10am - 5:00pm,9:20am - 4:20pm,
2,Hurley K-8 School,"8:30am - 3:10pm
Doors open at 8:15am for students.",8:00 am - 3:20pm,8:15am - 3:10pm,8:00 am - 3:20pm,8:00am - 4:00pm,8:00 am - 3:20pm,"Hub Coordinator: 9:00am - 5:00pm
CFC: 8:00am - 4:00pm"
2,Mather Elementary School,9:30am - 4:10pm,9:10 am - 4:20pm,9:30am - 4:20pm,9:10 am - 4:20pm,9:00am - 5:00pm,9:10 am - 4:20pm,
2,Perkins Elementary School,8:30am - 3:10pm,8:10-3:20,8:15-3:15,8:10-3:20,8am-4pm,8:10-3:20,
2,Perry Elementary School,9:30am - 4:10pm,9:15-4:25,9:20-4:10,9:10-4:20,9:00-5:00,9:15-4:25,
2,Quincy Elementary School,9:30am - 4:10pm                             Early Dismissal 1:40pm,9:15-4:25,9:25-4:15,9:15-4:25,8:45-4:45,9:15-4:25,
2,Russell Elementary School,8:30am - 3:10pm,8:15am-3:25pm,8:30am-3:20pm,8:15am-3:25pm,8:00am-4:00pm,8:15am-3:25pm,
