"Content","Employer","Industry","ID","External ID","Contract","Tools"
"","COMPASS/WOLFGANG PUCK AT SONY PICTURES ENTERTAINMENT ","Event Center","",""," Final Executed Compass Cafeterias MOA.pdf","Uploads Contacts Users AccountsWorkers"
"","COMPASS/EUREST AT PARAMOUNT PICTURES","Event Center","",""," Final Executed Compass Cafeterias MOA.pdf","Uploads Contacts Users AccountsWorkers"
"","WESTIN LONG BEACH (KHANNA HOTELS)","Hospitality","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","Event Center EE Contribution","Event Center","ECHP","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","FAIRMONT CENTURY PLAZA (SPA UNIT)","Hospitality","",""," 2026.04.13 Fairmont Century Plaza - Spa Accretion Terms Executed.pdf","Uploads Contacts Users AccountsWorkers"
"","THE PANTRY BY HOPE","Restaurant","",""," 2026.02.24 The Original Pantry Assumption Agreement Final Executed.pdf","Uploads Contacts Users AccountsWorkers"
"","LEVY KIA FORUM","Event Center","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","LEVY CRYPTO","Event Center","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","LEVY LOS ANGELES CONVENTION CENTER (Event Center Plan)","Event Center","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","LEVY LOS ANGELES CONVENTION CENTER (Unite Here Plan)","Hospitality","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","LEVY DIGNITY","Event Center","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
"","LEVY DODGERS","Event Center","","","No contract on file.","Uploads Contacts Users AccountsWorkers"
