@timestamp,@message
2026-01-20 17:48:46.284,"Share images, automate workflows, and more with a free Docker ID:"
2026-01-20 17:48:46.284, https://hub.docker.com/
2026-01-20 17:48:46.284,"For more examples and ideas, visit:"
2026-01-20 17:48:46.284, https://docs.docker.com/get-started/
2026-01-20 17:47:56.310,"{""level"":""info"",""ts"":1768931276.3099377,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.95"",""remote_port"":""38906"",""client_ip"":""10.192.10.95"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000098443,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:47:56.307,"{""level"":""info"",""ts"":1768931276.3076565,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.55"",""remote_port"":""19464"",""client_ip"":""10.192.10.55"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000091425,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:47:56.248,"{""level"":""info"",""ts"":1768931276.2479355,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.11.44"",""remote_port"":""1314"",""client_ip"":""10.192.11.44"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000107783,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:47:52.908,"{""level"":""info"",""ts"":1768931272.908889,""msg"":""shutdown complete"",""signal"":""SIGTERM"",""exit_code"":0}"
2026-01-20 17:47:52.907,"{""level"":""warn"",""ts"":1768931272.9064908,""msg"":""exiting; byeee!! 👋"",""signal"":""SIGTERM""}"
2026-01-20 17:47:52.907,"{""level"":""info"",""ts"":1768931272.9075913,""logger"":""http"",""msg"":""servers shutting down with eternal grace period""}"
2026-01-20 17:47:52.906,"{""level"":""info"",""ts"":1768931272.9064639,""msg"":""shutting down apps, then terminating"",""signal"":""SIGTERM""}"
2026-01-20 17:47:26.289,"{""level"":""info"",""ts"":1768931246.289029,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.95"",""remote_port"":""20382"",""client_ip"":""10.192.10.95"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Accept-Encoding"":[""gzip, compressed""],""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.00010986,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:47:26.277,"{""level"":""info"",""ts"":1768931246.2773137,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.55"",""remote_port"":""10494"",""client_ip"":""10.192.10.55"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000121593,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:47:26.224,"{""level"":""info"",""ts"":1768931246.2244494,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.11.44"",""remote_port"":""59708"",""client_ip"":""10.192.11.44"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000124783,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:46:56.261,"{""level"":""info"",""ts"":1768931216.2617137,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.55"",""remote_port"":""46002"",""client_ip"":""10.192.10.55"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000108482,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:46:56.258,"{""level"":""info"",""ts"":1768931216.2579138,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.95"",""remote_port"":""19088"",""client_ip"":""10.192.10.95"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000106796,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:46:56.196,"{""level"":""info"",""ts"":1768931216.1967516,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.11.44"",""remote_port"":""6550"",""client_ip"":""10.192.11.44"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000102541,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:46:26.259,"{""level"":""info"",""ts"":1768931186.2592254,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.55"",""remote_port"":""41498"",""client_ip"":""10.192.10.55"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.000120636,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
2026-01-20 17:46:26.255,"{""level"":""info"",""ts"":1768931186.2557313,""logger"":""http.log.access.log0"",""msg"":""handled request"",""request"":{""remote_ip"":""10.192.10.95"",""remote_port"":""51196"",""client_ip"":""10.192.10.95"",""proto"":""HTTP/1.1"",""method"":""GET"",""host"":""10.192.10.134:3000"",""uri"":""/api/health"",""headers"":{""Connection"":[""close""],""User-Agent"":[""ELB-HealthChecker/2.0""],""Accept-Encoding"":[""gzip, compressed""]}},""bytes_read"":0,""user_id"":"""",""duration"":0.00009247,""size"":0,""status"":404,""resp_headers"":{""Server"":[""Caddy""]}}"
